MSSubClass	LotFrontage	LotArea	OverallQual	OverallCond	YearBuilt	YearRemodAdd	BsmtFinSF1	BsmtUnfSF	TotalBsmtSF	1stFlrSF	GrLivArea	FullBath	BedroomAbvGr	TotRmsAbvGrd	GarageYrBlt	GarageCars	GarageArea	OpenPorchSF	YrSold	SalePrice
20	73	39104	7	7	1954	2005	226	96	1385	1363	1363	1	2	5	1954	2	439	0	2008	241500
60	92	11764	8	7	1999	2007	524	628	1152	1164	2270	2	4	9	1999	3	671	57	2010	290000
20	80	9600	6	6	1958	1988	620	0	1240	1632	1632	2	3	6	1958	1	338	0	2009	139000
20	76	8314	5	7	1982	1982	546	270	816	816	816	1	2	5	1982	1	264	0	2007	124500
50	55	7264	7	7	1925	2007	0	952	952	952	1548	2	3	5	1978	2	672	0	2009	205000
20	129	9196	7	5	2003	2003	0	1560	1560	1560	1560	2	3	7	2003	2	573	150	2010	201000
20	140	19138	4	5	1951	1951	120	744	864	864	864	1	2	4	1951	2	400	0	2010	141000
20	107	14450	9	5	2006	2007	0	2121	2121	2121	2121	2	3	8	2007	3	732	98	2007	415298
60	83	10005	7	5	1977	1977	392	768	1160	1156	2022	2	4	8	1977	2	505	117	2008	192000
60	82	11287	7	6	1989	1989	421	386	807	1175	1982	2	3	7	1989	2	575	84	2007	228500
20	60	7200	6	5	2006	2006	905	357	1262	1262	1262	2	2	5	2006	2	572	120	2006	185000
120	34	5063	7	5	2007	2008	904	410	1314	1314	1314	2	2	6	2008	2	626	62	2009	207500
20	74	9612	8	5	2008	2009	0	1468	1468	1468	1468	2	3	6	2008	3	898	150	2009	244600
120	50	8012	6	5	1992	1992	430	1145	1575	1575	1575	2	2	5	1992	2	529	0	2007	179200
160	35	4251	7	5	2006	2007	0	625	625	625	1250	2	2	5	2006	2	528	54	2007	164700
50	77	9786	6	7	1962	1981	600	312	912	1085	1734	1	3	7	1962	2	440	0	2006	159000
20	NA	8125	4	4	1971	1971	614	244	858	858	858	1	3	5	NA	0	0	0	2006	88000
20	NA	9819	5	5	1967	1967	450	432	882	900	900	1	3	5	1970	1	280	0	2010	122000
70	60	8730	6	7	1915	2003	0	698	698	698	1396	1	3	7	2003	1	384	0	2007	153575
60	120	15611	8	5	2006	2006	0	1079	1079	1079	1919	2	3	8	2006	2	685	51	2006	233230
190	55	5687	5	6	1912	2000	210	570	780	936	1716	2	6	9	NA	0	0	184	2008	135900
50	60	11409	5	4	1949	2008	292	476	768	1148	1716	1	3	8	1949	1	281	0	2009	131000
60	NA	16659	7	7	1977	1994	795	0	795	1468	2263	2	3	9	1977	2	539	250	2006	235000
20	80	9600	6	5	1953	1953	1285	131	1416	1644	1644	1	3	7	1953	2	418	0	2009	167000
80	37	7937	6	6	1984	1984	819	184	1003	1003	1003	1	3	6	1984	2	588	0	2006	142500
50	75	13710	5	5	1950	1950	420	490	910	910	1558	1	4	6	1950	1	282	0	2007	152000
60	66	7399	7	5	1997	1998	649	326	975	975	1950	2	3	7	1997	2	576	10	2007	239000
60	90	11700	6	6	1968	1968	384	143	702	1041	1743	1	3	7	1968	2	539	0	2007	175000
20	80	14000	6	8	1950	2004	0	1092	1092	1152	1152	1	3	6	1950	1	300	36	2009	158500
190	90	15750	5	5	1953	1953	841	324	1165	1336	1336	1	2	5	1953	1	375	0	2006	157000
60	66	16226	8	5	1998	1999	281	747	1028	1210	2452	2	4	9	1998	2	683	50	2007	267000
20	118	13704	7	5	2001	2002	0	1541	1541	1541	1541	2	3	6	2001	3	843	81	2006	205000
20	70	9800	5	7	1972	1972	894	0	894	894	894	1	3	5	1975	2	552	0	2006	149900
75	87	18386	7	9	1880	2002	0	1470	1470	1675	3493	3	3	10	2003	3	870	0	2008	295000
20	80	10386	8	5	2004	2005	1464	536	2000	2000	2000	2	3	8	2004	3	888	0	2007	305900
60	116	13474	7	5	1990	1991	700	0	700	1122	2243	2	4	8	1990	3	746	44	2007	225000
50	NA	7920	6	7	1920	1950	0	319	319	1035	1406	1	3	6	NA	0	0	144	2008	89500
30	NA	12342	4	5	1940	1950	262	599	861	861	861	1	1	4	1961	2	539	0	2009	82500
20	90	12378	9	5	2003	2004	1274	622	1896	1944	1944	2	3	8	2003	3	708	175	2006	360000
60	NA	7685	6	5	1993	1994	518	179	697	697	1501	2	3	6	1993	2	420	63	2006	165600
20	50	8000	6	6	1948	2002	680	292	972	972	972	1	2	5	1948	1	240	0	2009	132000
190	65	7800	5	7	1939	1950	507	286	793	793	1118	1	3	5	1939	2	410	0	2006	119900
20	150	215245	7	5	1965	1965	1236	80	2136	2036	2036	2	3	8	1965	2	513	0	2009	375000
70	60	9600	7	7	1925	1990	16	712	728	832	1641	1	3	6	1925	2	546	0	2006	178000
60	71	7795	7	5	2004	2005	425	291	716	716	1432	2	3	6	2004	2	432	51	2009	188500
60	94	13005	7	7	1980	1980	692	153	845	1153	2353	2	4	10	1983	2	484	195	2009	260000
60	75	9000	8	5	2006	2006	0	1088	1088	1088	1959	2	3	8	2006	3	1025	46	2007	270000
60	90	9900	7	5	1993	1993	987	360	1347	1372	2646	2	4	9	1993	3	656	60	2009	260000
80	NA	14115	7	5	1980	1980	1036	336	1372	1472	1472	2	3	6	1980	2	588	48	2009	187500
60	111	16259	9	5	2006	2006	0	1249	1249	1249	2596	3	4	9	2006	3	840	154	2006	342643
60	99	12099	8	5	2004	2004	970	166	1136	1136	2468	2	4	10	2004	3	872	154	2007	354000
60	86	10380	7	5	1986	1987	28	0	1502	1553	2730	2	4	8	1987	2	576	96	2007	301000
20	49	5820	3	8	1955	2005	256	906	1162	1163	1163	1	3	6	1955	1	220	98	2006	126175
80	96	11275	7	7	1967	2007	0	710	710	1898	2978	2	5	11	1961	2	564	0	2010	242000
45	50	5000	5	6	1941	1950	116	604	720	803	803	1	2	5	1941	2	360	0	2007	87000
120	32	10846	8	5	1993	1993	1619	100	1719	1719	1719	1	1	6	1993	2	473	30	2008	324000
20	80	11600	6	5	1960	1960	565	818	1383	1383	1383	1	3	7	1960	1	292	45	2006	145250
75	NA	11888	6	6	1916	1994	0	844	844	1445	2134	2	5	10	1930	2	441	60	2009	214500
70	60	6402	5	5	1920	1950	0	596	596	596	1192	1	3	6	1920	1	189	0	2009	78000
90	NA	10624	5	4	1964	1964	40	1424	1728	1728	1728	2	6	10	2002	1	352	0	2007	119000
20	70	8176	5	6	1958	1992	846	210	1056	1056	1056	1	3	6	1958	1	308	0	2007	139000
20	85	10655	8	5	2003	2004	1124	1603	3206	1629	1629	2	3	7	2003	3	880	0	2009	284000
120	59	8198	7	5	2004	2004	720	638	1358	1358	1358	2	2	6	2004	2	484	30	2008	207000
60	59	9042	6	5	1998	1998	828	115	943	943	1638	2	3	7	1998	2	472	38	2008	192000
190	NA	164660	5	6	1965	1965	1249	103	1499	1619	1786	2	3	7	1965	2	529	0	2008	228950
20	86	14157	9	5	2005	2006	1249	673	1922	1922	1922	2	3	8	2005	3	676	51	2007	377426
20	70	9135	7	5	2002	2003	810	726	1536	1536	1536	2	3	7	2002	2	532	74	2008	214000
20	91	14145	7	7	1984	1998	213	995	1208	1621	1621	2	3	8	1984	2	440	45	2006	202500
20	66	12400	6	7	1958	1998	585	630	1215	1215	1215	1	3	6	1958	1	297	0	2009	155000
60	85	14191	8	5	2002	2002	0	967	967	993	1908	2	4	9	2002	2	431	0	2010	202900
20	60	8400	4	4	1950	1950	0	721	721	841	841	1	2	4	1950	1	294	0	2009	82000
90	NA	8544	3	4	1949	1950	0	0	0	1040	1040	2	2	6	1949	2	400	0	2006	87500
120	63	8849	9	5	2005	2005	28	1656	1684	1684	1684	2	2	6	2005	2	564	72	2008	266000
160	36	2592	5	3	1976	1976	129	175	536	536	1112	1	3	4	1976	1	336	0	2010	85000
50	65	6435	6	5	1939	1950	0	972	972	972	1577	1	3	6	1939	1	312	0	2006	140200
20	NA	12772	6	8	1960	1998	498	460	958	958	958	1	2	5	1960	1	301	0	2007	151500
20	NA	17600	6	5	1960	1960	1270	208	1478	1478	1478	2	3	6	1960	2	498	40	2009	157500
160	36	2448	7	5	2003	2004	573	191	764	764	1626	2	2	6	2003	2	474	27	2008	154000
60	56	20431	9	5	2005	2006	1410	438	1848	1848	2728	2	4	10	2006	3	706	0	2006	437154
120	68	7820	9	5	2007	2007	0	1869	1869	1869	1869	2	2	6	2007	2	617	54	2007	318061
120	NA	5271	7	5	1986	1986	1082	371	1453	1453	1453	1	2	6	1986	2	445	80	2006	190000
50	60	9084	5	6	1941	1950	236	0	616	616	1111	1	3	5	1941	1	200	0	2008	95000
30	60	8520	6	8	1928	2003	0	624	624	720	720	1	2	5	2005	2	484	0	2010	105900
50	60	8400	6	5	1940	2000	388	552	940	1192	1595	1	2	6	1940	1	240	0	2006	140000
20	105	11249	6	5	1995	1995	334	322	1200	1200	1200	2	3	6	1995	2	521	26	2007	177500
20	NA	9248	6	6	1992	1992	560	598	1158	1167	1167	2	3	6	1992	2	400	26	2009	173000
120	44	4224	5	5	1976	1976	874	268	1142	1142	1142	1	3	6	1976	2	528	90	2007	134000
80	92	6930	5	4	1958	1958	300	468	1062	1352	1352	1	3	6	1958	1	288	0	2006	130000
60	78	12011	8	5	1998	1998	956	130	1086	1086	1924	2	3	7	1998	2	592	75	2006	280000
85	NA	7540	6	6	1978	1978	773	115	888	912	912	1	2	5	1978	2	470	0	2007	156000
50	NA	9144	5	5	1940	1982	399	484	883	988	1505	1	3	8	1940	1	240	0	2008	145000
85	64	7301	7	5	2003	2003	0	0	0	495	1922	3	4	7	2003	2	672	0	2009	198500
160	21	1680	6	8	1972	2007	162	321	483	483	987	1	2	5	1972	1	264	0	2009	118000
60	NA	18800	6	5	1976	1976	712	84	796	790	1574	2	3	6	1976	2	566	111	2006	190000
70	59	10690	5	7	1920	1997	456	216	672	672	1344	1	3	6	1964	1	468	128	2009	147000
20	NA	9500	6	5	1963	1963	609	785	1394	1394	1394	1	3	6	1963	2	514	76	2009	159000
80	101	9150	6	5	1962	1962	371	728	1099	1431	1431	1	3	6	1962	1	296	110	2008	165000
20	78	7800	5	6	1954	1954	540	728	1268	1268	1268	1	2	7	1954	1	244	98	2010	132000
20	NA	9830	5	7	1959	2006	72	733	1063	1287	1287	1	3	7	1997	2	576	17	2010	162000
60	NA	8121	6	5	2000	2000	0	953	953	953	1664	2	3	7	2000	2	460	40	2006	172400
50	80	17120	4	4	1959	1959	0	0	0	1120	1588	2	4	7	1991	2	680	59	2008	134432
120	50	7175	6	5	1984	1984	623	0	744	752	752	1	2	4	1984	1	264	0	2010	125000
20	79	10634	5	6	1953	1953	428	0	608	1319	1319	1	3	5	1953	1	270	0	2009	123000
60	65	8200	7	5	2003	2004	0	847	847	847	1928	2	4	8	2003	2	434	48	2007	219500
30	NA	10020	1	1	1922	1950	350	333	683	904	904	0	1	4	NA	0	0	0	2009	61000
85	57	8846	5	5	1996	1996	298	572	870	914	914	1	2	5	1998	2	576	0	2006	148000
60	102	11143	8	5	2004	2005	0	1580	1580	1580	2466	3	4	8	2004	2	610	214	2007	340000
20	88	11394	9	2	2010	2010	1445	411	1856	1856	1856	1	1	8	2010	3	834	0	2010	394432
60	60	8123	6	5	2000	2000	0	982	982	1007	1800	2	3	7	2000	2	463	63	2009	179000
50	50	5000	5	6	1924	1950	218	808	1026	1026	1691	2	3	6	1924	1	308	0	2010	127000
20	60	7200	7	5	2006	2006	0	1293	1293	1301	1301	2	2	5	2006	2	572	121	2006	187750
60	79	9245	7	5	2006	2006	0	939	939	939	1797	2	3	8	2006	2	639	53	2007	213500
45	60	9000	6	3	1928	1950	0	784	784	784	784	1	2	5	1950	2	360	0	2009	76000
60	NA	53107	6	5	1992	1992	985	595	1580	1079	1953	2	3	9	1992	2	501	231	2007	240000
120	43	3182	8	5	2004	2005	24	1232	1256	1269	1269	2	2	6	2004	2	430	20	2010	192000
50	58	8410	5	3	1910	1996	0	658	658	658	1184	1	5	8	NA	0	0	151	2006	81000
80	72	7200	6	6	1976	1976	631	410	1041	1125	1125	1	3	6	1977	1	352	0	2009	125000
20	93	9382	7	5	1999	2000	0	1468	1468	1479	1479	2	3	6	1999	2	577	25	2008	191000
60	96	12474	10	5	2007	2008	1280	402	1682	1742	2332	2	3	9	2008	3	846	134	2008	426000
50	50	8405	5	8	1900	1950	241	229	861	961	1367	1	4	7	1978	1	384	130	2008	119000
60	71	12209	6	5	2001	2002	690	114	804	804	1961	2	3	7	2001	2	560	192	2009	215000
20	NA	8339	5	7	1959	1959	0	0	0	882	882	1	3	5	1959	1	294	0	2007	106500
30	NA	7446	4	5	1941	1950	266	522	788	788	788	1	2	4	NA	0	0	0	2006	100000
50	60	10134	5	6	1940	1950	0	735	735	735	1034	1	2	5	1940	1	240	39	2007	109000
20	68	9571	5	6	1956	1956	739	405	1144	1144	1144	1	3	6	1956	1	596	0	2010	129000
20	60	7200	5	5	1972	1972	777	117	894	894	894	1	2	6	1985	2	600	0	2009	123000
60	69	7590	5	5	1962	1962	540	324	864	876	1812	2	4	8	1962	1	264	168	2007	169500
30	60	8967	5	2	1920	1950	0	961	961	1077	1077	1	2	6	1920	1	338	0	2007	67000
60	65	8125	7	5	2006	2007	812	280	1092	1112	1550	2	2	7	2007	2	438	168	2009	241000
120	38	14963	8	5	1996	1996	786	474	1260	1288	1288	1	1	4	1996	2	500	30	2008	245500
20	65	8767	7	5	2005	2005	24	1286	1310	1310	1310	2	3	6	2005	2	400	0	2006	164990
30	60	10200	5	8	1940	1997	0	672	672	672	672	1	2	4	1940	1	240	0	2008	108000
60	93	12090	8	5	1998	1998	0	1141	1141	1165	2263	2	4	10	1998	2	420	123	2006	258000
60	NA	10364	6	5	1995	1996	0	806	806	806	1572	2	3	7	1995	2	373	40	2007	168000
20	NA	9991	4	4	1976	1993	1116	165	1281	1620	1620	2	3	8	1993	2	490	78	2009	150000
50	51	10480	6	5	1936	1950	0	1064	1064	1166	1639	1	3	6	1936	1	240	0	2008	115000
70	63	15576	6	7	1915	1976	0	840	840	840	1680	2	4	8	1960	1	308	0	2008	177000
60	109	14154	7	5	2006	2006	0	1063	1063	1071	2172	2	3	9	2006	3	947	62	2007	280000
60	85	10800	8	5	2007	2008	789	245	1034	1050	2078	2	3	8	2008	3	836	102	2008	339750
20	68	9571	5	3	1958	1958	0	1276	1276	1276	1276	1	3	5	1958	1	350	0	2009	60000
190	100	34650	5	5	1955	1955	1056	0	1056	1056	1056	1	3	5	1955	2	572	0	2006	145000
20	NA	4403	7	5	2009	2009	578	892	1470	1478	1478	2	2	7	2009	2	484	144	2010	222000
30	56	8960	5	6	1927	1950	0	1008	1008	1028	1028	1	2	5	1927	2	360	0	2010	115000
60	59	11228	7	5	1993	1993	50	499	1080	1080	2097	2	3	9	1993	3	678	187	2008	228000
20	73	8899	7	5	2007	2007	24	1316	1340	1340	1340	2	3	6	2007	2	396	30	2007	181134
60	74	7844	6	7	1978	1978	209	463	672	672	1400	1	3	6	1978	2	440	0	2006	149500
70	86	22420	6	6	1918	1950	1128	242	1370	1370	2624	2	4	10	1918	3	864	0	2007	239000
50	60	8160	5	6	1940	1950	312	444	756	756	1134	1	3	7	1940	1	240	0	2007	126000
20	65	8450	5	6	1968	1968	775	281	1056	1056	1056	1	3	6	1968	1	304	85	2010	142000
90	78	7060	7	5	1997	1998	1309	35	1344	1344	1344	2	2	8	1997	4	784	0	2008	206300
20	NA	16635	6	7	1977	2000	1246	356	1602	1602	1602	2	3	8	1977	2	529	0	2009	215000
20	100	21750	5	5	1954	1954	0	988	988	988	988	1	2	4	1954	2	520	0	2008	113000
60	80	9200	8	5	1998	1998	986	484	1470	1470	2630	2	4	8	1998	3	696	66	2008	315000
20	72	9000	6	5	1956	1956	616	580	1196	1196	1196	1	2	6	1956	1	297	44	2008	139000
60	60	3378	7	8	1946	1992	0	651	651	707	1389	1	3	6	1947	1	240	0	2009	135000
80	NA	12800	7	5	1989	1989	1518	0	1518	1644	1644	2	2	5	1989	2	569	0	2009	275000
20	77	8593	4	6	1957	1957	288	619	907	907	907	1	3	5	1964	1	352	0	2008	109008
20	64	6762	7	5	2007	2007	664	544	1208	1208	1208	2	2	6	2007	2	628	54	2007	195400
20	130	11457	6	5	1988	1988	1005	387	1392	1412	1412	2	3	6	1988	2	576	0	2009	175000
160	21	1680	6	5	1971	1971	387	96	483	483	987	1	2	4	1971	1	264	0	2008	85400
50	60	5586	6	7	1920	1998	0	901	901	1088	1198	1	4	7	NA	0	0	98	2008	79900
160	24	1920	5	5	1971	1971	471	294	765	765	1365	1	2	6	1971	2	440	36	2007	122500
60	100	10839	6	5	1997	1998	0	926	926	926	1604	2	3	7	1997	2	470	36	2008	181000
180	21	1890	4	7	1972	1972	495	135	630	630	630	1	1	3	NA	0	0	0	2008	81000
60	43	10667	7	6	1996	1996	385	70	799	827	1661	2	3	6	1996	2	550	61	2009	212000
50	40	4400	6	8	1920	1950	0	648	648	734	1118	1	2	6	1990	2	440	0	2006	116000
45	50	6000	6	7	1926	2004	0	884	884	904	904	1	2	4	1926	1	180	0	2009	119000
30	40	4280	5	6	1913	2002	365	75	440	694	694	1	2	4	1990	1	352	0	2007	90350
50	67	12354	6	8	1920	2000	0	684	684	684	1196	1	3	7	2005	2	528	46	2009	110000
20	105	15431	10	5	2008	2008	1767	788	3094	2402	2402	2	2	10	2008	3	672	72	2009	555000
90	92	12108	4	4	1955	1955	133	1307	1440	1440	1440	2	4	8	NA	0	0	0	2008	118000
50	52	6240	5	7	1930	1992	0	1078	1078	1128	1573	2	3	8	1930	2	360	0	2008	162900
120	53	3922	7	5	2006	2007	0	1258	1258	1258	1258	2	2	6	2007	3	648	16	2007	172500
60	70	8750	7	5	1994	1995	642	273	915	933	1908	2	4	8	1994	2	493	133	2008	210000
20	73	9855	6	5	1956	1956	0	1436	1436	1689	1689	1	3	7	1956	2	480	0	2009	127500
20	137	16492	6	6	1966	2002	247	557	1517	1888	1888	2	2	6	1966	2	578	0	2010	190000
60	NA	11214	7	5	1998	1999	0	930	930	956	1886	2	4	10	1998	2	431	0	2006	199900
50	50	8600	6	6	1937	1950	0	780	780	780	1376	2	3	7	1937	1	198	0	2006	119500
50	50	6000	3	7	1948	2002	331	318	649	679	1183	1	2	6	1981	1	308	176	2007	120000
30	70	5684	6	8	1930	2005	0	813	813	813	813	1	2	5	1932	1	270	113	2006	110000
20	62	70761	7	5	1975	1975	655	878	1533	1533	1533	2	2	5	1975	2	576	54	2006	280000
60	NA	9303	6	5	1996	1997	742	130	872	888	1756	2	3	7	1996	2	422	122	2007	204000
60	75	9000	8	5	2008	2008	0	768	768	786	1590	2	3	6	2008	2	676	30	2009	210000
90	63	9297	5	5	1976	1976	1606	122	1728	1728	1728	2	4	8	1976	2	560	0	2006	188000
20	80	9600	7	6	1973	1973	916	326	1242	1242	1242	1	3	6	1973	2	528	0	2007	175500
70	34	4571	5	5	1916	1950	0	624	624	624	1344	1	4	7	1916	3	513	0	2008	98000
20	NA	53227	4	6	1954	1994	1116	248	1364	1663	1663	1	2	6	1954	2	529	137	2008	256000
70	NA	5100	8	7	1925	1996	0	588	588	833	1666	1	3	7	1925	1	228	63	2008	161000
50	NA	7015	5	4	1950	1950	185	524	709	979	1203	1	3	5	1950	1	352	0	2009	110000
60	75	8004	8	5	2009	2009	544	288	832	832	1935	2	3	8	2009	2	552	150	2009	263435
70	60	7200	7	9	1936	2007	350	0	560	575	1135	1	3	6	1971	2	576	0	2009	155000
20	60	8281	5	5	1965	1965	553	0	864	864	864	1	3	5	1965	1	360	0	2009	62383
70	74	11988	6	7	1934	1995	326	389	715	849	1660	1	3	6	1939	1	240	0	2008	188700
20	60	8430	5	5	1978	1978	616	424	1040	1040	1040	2	3	5	NA	0	0	0	2009	124000
120	NA	3072	7	5	2004	2004	0	1375	1375	1414	1414	2	2	6	2004	2	398	20	2006	178740
20	85	10628	7	5	1970	1970	778	499	1277	1277	1277	1	2	5	1970	2	526	0	2007	167000
70	79	9480	5	7	1942	1995	386	342	728	888	1644	1	3	7	1942	1	312	0	2007	146500
20	98	11428	8	5	2006	2006	0	1626	1626	1634	1634	2	3	7	2006	3	866	44	2007	250000
60	76	9291	6	5	1993	1993	426	406	832	832	1710	2	3	7	1993	2	506	70	2008	187000
120	NA	6820	8	5	1985	1985	368	0	1488	1502	1502	1	1	4	1985	2	528	54	2010	212000
60	92	11952	7	6	1977	1977	0	808	808	1161	1969	2	3	8	1977	2	534	0	2007	190000
180	35	3675	6	5	2005	2005	459	88	547	1072	1072	1	2	5	2005	2	525	28	2008	148000
20	110	14977	8	5	2006	2007	1350	626	1976	1976	1976	2	2	7	2006	3	908	63	2007	440000
120	41	5330	8	5	2000	2000	1196	298	1494	1652	1652	2	2	6	2000	2	499	48	2007	251000
20	80	8480	5	6	1963	1963	630	340	970	970	970	1	2	5	1996	2	624	24	2007	132500
20	75	13125	6	5	1997	1998	994	484	1478	1493	1493	2	3	7	1997	2	508	39	2008	208900
60	105	13693	9	5	2006	2006	0	2153	2153	2069	2643	2	3	9	2006	3	694	84	2007	380000
20	79	10637	8	5	2007	2008	1288	417	1705	1718	1718	2	3	7	2007	3	826	44	2009	297000
30	50	5925	4	7	1937	2000	168	739	907	1131	1131	1	2	7	1995	2	672	72	2007	89471
20	98	16033	9	5	2004	2005	1261	572	1833	1850	1850	2	3	8	2004	3	772	112	2006	326000
20	72	11846	9	5	2003	2004	1567	225	1792	1792	1792	2	2	6	2003	3	874	49	2006	374000
70	50	2500	7	8	1915	2005	299	611	910	916	1826	1	4	7	1915	1	164	0	2009	155000
120	32	4500	6	5	1998	1998	897	319	1216	1216	1216	2	2	5	1998	2	402	125	2006	164000
20	NA	7758	5	7	1962	2001	588	411	999	999	999	1	3	6	1963	1	264	132	2007	132500
20	80	9600	5	7	1950	2007	607	506	1113	1113	1113	1	3	5	1950	1	264	80	2009	147000
20	79	10289	5	7	1965	1965	836	237	1073	1073	1073	1	3	6	1965	2	515	0	2007	156000
20	70	12243	5	6	1971	1971	998	486	1484	1484	1484	2	3	7	1971	2	487	0	2007	175000
190	60	10800	5	4	1900	1970	664	290	954	1766	2414	2	3	10	1970	2	520	0	2006	160000
180	21	1526	4	8	1970	2002	515	115	630	630	630	1	1	3	1970	1	286	0	2009	86000
160	NA	2665	5	6	1976	1976	0	264	264	616	1304	1	3	4	1976	1	336	24	2008	115000
50	79	9490	6	7	1941	1950	403	238	806	958	1578	1	3	5	1941	1	240	0	2006	133000
60	105	15578	6	5	2006	2006	0	728	728	728	1456	2	3	8	2006	2	429	0	2006	172785
20	70	7931	5	6	1960	1960	374	363	1269	1269	1269	1	3	6	1964	1	308	0	2008	155000
30	50	5784	5	8	1938	1996	0	190	190	886	886	1	2	4	1938	1	273	20	2009	91300
30	60	7879	4	5	1920	1950	495	225	720	720	720	1	2	4	NA	0	0	523	2009	34900
20	NA	12692	8	5	1992	1993	1231	1969	3200	3228	3228	3	4	10	1992	2	546	75	2007	430000
50	60	9120	7	6	1925	1950	329	697	1026	1133	1820	2	4	8	1925	1	240	100	2008	184000
20	65	7800	5	7	1967	2004	450	414	864	899	899	1	3	5	1967	1	288	0	2009	130000
20	70	7535	5	7	1958	1985	111	522	912	912	912	1	2	5	1958	1	297	285	2007	120000
160	21	1890	6	5	1973	1973	356	316	672	672	1218	1	3	7	1973	1	264	28	2007	113000
60	75	9803	7	5	2005	2005	400	466	866	866	1768	2	3	7	2005	2	603	108	2008	226700
20	70	9170	5	7	1965	1965	698	420	1214	1214	1214	1	2	6	1965	2	461	0	2007	140000
20	100	15602	7	8	1959	1997	1247	254	1501	1801	1801	2	1	6	1959	2	484	54	2010	289000
160	24	2308	6	5	1974	1974	257	103	855	855	1322	2	3	6	1974	2	440	0	2009	147000
90	60	7596	5	5	1952	1952	0	960	960	960	1960	2	4	10	1952	2	400	0	2009	124500
60	80	9554	8	5	1993	1994	380	397	777	1065	1911	2	3	8	1993	2	471	81	2006	215000
20	75	7862	6	5	2009	2009	27	1191	1218	1218	1218	2	2	4	2009	2	676	102	2009	208300
70	60	9600	7	9	1928	2005	141	548	689	689	1378	2	3	7	1928	2	360	0	2008	161000
20	80	9600	5	6	1959	1959	991	50	1041	1041	1041	1	3	6	1959	1	270	88	2009	124500
20	75	14559	5	7	1951	2000	650	178	1008	1363	1363	1	2	6	1951	1	288	42	2009	164900
120	40	6792	7	5	2005	2006	0	1368	1368	1368	1368	2	2	6	2005	2	474	35	2006	202665
20	70	9100	5	5	1958	1958	521	169	864	864	864	1	3	5	1964	2	624	0	2006	129900
20	71	9187	6	5	1983	1983	336	748	1084	1080	1080	1	3	5	1983	2	484	0	2007	134000
45	55	10594	5	5	1926	1950	0	768	768	789	789	1	2	5	1926	1	200	0	2007	96500
20	94	12220	10	5	2009	2009	1436	570	2006	2020	2020	2	3	9	2009	3	900	54	2009	402861
80	NA	10448	6	6	1972	1972	0	689	689	1378	2119	2	3	7	1972	2	583	104	2009	158000
60	79	10208	7	5	1996	1997	0	1264	1264	1277	2344	2	3	7	1996	3	889	0	2009	265000
60	NA	9531	6	5	1998	1998	706	88	794	882	1796	2	3	7	1998	2	546	36	2007	211000
70	53	10918	7	9	1926	2004	0	1276	1276	1276	2080	1	3	9	1926	1	282	0	2009	234000
190	60	10800	4	7	1900	2000	0	0	0	694	1294	2	3	7	NA	0	0	114	2008	106250
20	90	11988	6	6	1957	1957	777	467	1244	1244	1244	1	3	6	1957	1	336	40	2007	150000
50	50	5000	6	7	1947	1950	399	605	1004	1004	1664	2	3	7	1950	2	420	24	2006	159000
60	130	40094	10	5	2007	2008	2260	878	3138	3138	4676	3	3	11	2007	3	884	406	2007	184750
60	95	11787	7	5	1996	1997	719	660	1379	1383	2398	2	3	8	1996	3	834	60	2007	315750
20	62	7500	7	5	2005	2005	0	1257	1257	1266	1266	2	3	6	2005	2	453	144	2006	176000
20	70	13300	5	7	1956	2000	377	551	928	928	928	1	2	4	1956	1	252	0	2007	132000
60	67	14948	9	5	2008	2008	1330	122	1452	1476	2713	2	3	11	2008	3	858	66	2008	446261
30	58	9098	4	7	1920	2002	348	180	528	605	605	1	2	5	NA	0	0	0	2007	86000
20	NA	32668	6	3	1957	1975	1219	816	2035	2515	2515	3	4	9	1975	2	484	0	2007	200624
80	85	10200	6	5	1988	1989	783	678	1461	1509	1509	2	3	5	1988	2	600	0	2008	175000
70	60	6155	6	8	1920	1999	0	611	611	751	1362	2	3	6	1920	2	502	0	2008	128000
20	60	7200	5	7	1955	2007	0	0	0	827	827	1	2	5	1967	1	392	0	2010	107500
20	50	5000	1	3	1946	1950	0	0	0	334	334	1	1	2	NA	0	0	0	2007	39300
60	74	9056	8	5	2004	2004	0	707	707	707	1414	2	3	6	2004	2	403	35	2006	178000
190	70	7000	5	7	1910	1991	969	148	1117	820	1347	1	3	5	NA	0	0	0	2008	107500
60	57	8924	7	5	1998	1999	0	880	880	880	1724	2	3	8	1998	2	527	155	2008	188000
20	NA	12735	4	5	1972	1972	600	264	864	864	864	1	3	5	1980	2	576	0	2008	111250
20	NA	11553	5	5	1968	1968	673	378	1051	1159	1159	1	3	7	1968	1	336	0	2006	158000
20	NA	11423	8	5	2001	2002	1358	223	1581	1601	1601	2	3	6	2001	2	670	0	2010	272000
20	85	14601	9	5	2006	2006	1260	578	1838	1838	1838	2	2	8	2006	3	765	68	2009	315000
60	NA	11000	8	5	2000	2000	0	969	969	997	2285	2	4	8	2000	3	648	56	2007	248000
20	78	10140	7	5	1998	1999	144	379	1650	1680	1680	2	3	7	1998	2	583	73	2009	213250
120	34	4058	7	5	1998	1998	584	0	723	767	767	1	1	4	1998	1	367	40	2007	133000
60	58	17104	7	5	2006	2006	554	100	654	664	1496	2	3	7	2006	2	426	24	2006	179665
